ids,sentences
12.8.31.3,śrutvānubhāvaṁ brahmarṣer
12.8.31.4,vismayaṁ samagāt param
12.8.32.1,tasyaivaṁ yuñjataś cittaṁ
12.8.32.2,tapaḥ-svādhyāya-saṁyamaiḥ
12.8.32.3,anugrahāyāvirāsīn
12.8.32.4,nara-nārāyaṇo hariḥ
12.8.33-34.1,tau śukla-kṛṣṇau nava-kañja-locanau
12.8.33-34.2,catur-bhujau raurava-valkalāmbarau
12.8.33-34.3,pavitra-pāṇī upavītakaṁ tri-vṛt
12.8.33-34.4,kamaṇḍaluṁ daṇḍam ṛjuṁ ca vaiṇavam
12.8.35.1,te vai bhagavato rūpe
12.8.35.2,nara-nārāyaṇāv ṛṣī
12.8.35.3,dṛṣṭvotthāyādareṇoccair
12.8.35.4,nanāmāṅgena daṇḍa-vat
12.8.36.1,sa tat-sandarśanānanda-
12.8.36.2,nirvṛtātmendriyāśayaḥ
12.8.36.3,hṛṣṭa-romāśru-pūrṇākṣo
12.8.36.4,na sehe tāv udīkṣitum
12.8.37.1,utthāya prāñjaliḥ prahva
12.8.37.2,autsukyād āśliṣann iva
12.8.37.3,namo nama itīśānau
12.8.37.4,babhāṣe gadgadākṣaram
12.8.38.1,tayor āsanam ādāya
12.8.38.2,pādayor avanijya ca
12.8.38.3,arhaṇenānulepena
12.8.38.4,dhūpa-mālyair apūjayat
12.8.39.1,sukham āsanam āsīnau
12.8.39.2,prasādābhimukhau munī
12.8.39.3,punar ānamya pādābhyāṁ
12.8.39.4,gariṣṭhāv idam abravīt
12.8.40.1,śrī-mārkaṇḍeya uvāca
12.8.41.1,mūrtī ime bhagavato bhagavaṁs tri-lokyāḥ
12.8.41.2,kṣemāya tāpa-viramāya ca mṛtyu-jityai
12.8.41.3,nānā bibharṣy avitum anya-tanūr yathedaṁ
12.8.41.4,sṛṣṭvā punar grasasi sarvam ivorṇanābhiḥ
12.8.42.1,tasyāvituḥ sthira-careśitur aṅghri-mūlaṁ
12.8.42.2,yat-sthaṁ na karma-guṇa-kāla-rajaḥ spṛśanti
12.8.42.3,yad vai stuvanti ninamanti yajanty abhīkṣṇaṁ
12.8.42.4,dhyāyanti veda-hṛdayā munayas tad-āptyai
12.8.43.1,nānyaṁ tavāṅghry-upanayād apavarga-mūrteḥ
12.8.43.2,kṣemaṁ janasya parito-bhiya īśa vidmaḥ
12.8.43.3,brahmā bibhety alam ato dvi-parārdha-dhiṣṇyaḥ
12.8.43.4,kālasya te kim uta tat-kṛta-bhautikānām
12.8.44.1,tad vai bhajāmy ṛta-dhiyas tava pāda-mūlaṁ
12.8.44.2,hitvedam ātma-cchadi cātma-guroḥ parasya
12.8.44.3,dehādy apārtham asad antyam abhijña-mātraṁ
12.8.44.4,vindeta te tarhi sarva-manīṣitārtham
12.8.45.1,sattvaṁ rajas tama itīśa tavātma-bandho
12.8.45.2,māyā-mayāḥ sthiti-layodaya-hetavo ’sya
12.8.45.3,līlā dhṛtā yad api sattva-mayī praśāntyai
12.8.45.4,nānye nṛṇāṁ vyasana-moha-bhiyaś ca yābhyām
12.8.46.1,tasmāt taveha bhagavann atha tāvakānāṁ
12.8.46.2,śuklāṁ tanuṁ sva-dayitāṁ kuśalā bhajanti
12.8.46.3,yat sātvatāḥ puruṣa-rūpam uśanti sattvaṁ
12.8.46.4,loko yato ’bhayam utātma-sukhaṁ na cānyat
12.8.47.1,tasmai namo bhagavate puruṣāya bhūmne
12.8.47.2,viśvāya viśva-gurave para-daivatāya
12.8.47.3,nārāyaṇāya ṛṣaye ca narottamāya
12.8.47.4,haṁsāya saṁyata-gire nigameśvarāya
12.8.48.1,yaṁ vai na veda vitathākṣa-pathair bhramad-dhīḥ
12.8.48.2,santaṁ svakeṣv asuṣu hṛdy api dṛk-patheṣu
12.8.48.3,tan-māyayāvṛta-matiḥ sa u eva sākṣād
12.8.48.4,ādyas tavākhila-guror upasādya vedam
12.8.49.1,yad-darśanaṁ nigama ātma-rahaḥ-prakāśaṁ
12.8.49.2,muhyanti yatra kavayo ’ja-parā yatantaḥ
12.8.49.3,taṁ sarva-vāda-viṣaya-pratirūpa-śīlaṁ
12.8.49.4,vande mahā-puruṣam ātma-nigūḍha-bodham
12.9.1.1,sūta uvāca
12.9.2.1,śrī-bhagavān uvāca
12.9.3.1,vayaṁ te parituṣṭāḥ sma
12.9.3.2,tvad-bṛhad-vrata-caryayā
12.9.3.3,varaṁ pratīccha bhadraṁ te
12.9.3.4,vara-do ’smi tvad-īpsitam
12.9.4.1,śrī-ṛṣir uvāca
12.9.5.1,gṛhītvājādayo yasya
12.9.5.2,śrīmat-pādābja-darśanam
12.9.5.3,manasā yoga-pakvena
12.9.5.4,sa bhavān me ’kṣi-gocaraḥ
12.9.6.1,athāpy ambuja-patrākṣa
12.9.6.2,puṇya-śloka-śikhāmaṇe
12.9.6.3,drakṣye māyāṁ yayā lokaḥ
12.9.6.4,sa-pālo veda sad-bhidām
12.9.7.1,sūta uvāca
12.9.8-9.1,tam eva cintayann artham
12.9.8-9.2,ṛṣiḥ svāśrama eva saḥ
12.9.8-9.3,vasann agny-arka-somāmbu-
12.9.8-9.4,bhū-vāyu-viyad-ātmasu
12.9.10.1,tasyaikadā bhṛgu-śreṣṭha
12.9.10.2,puṣpabhadrā-taṭe muneḥ
12.9.10.3,upāsīnasya sandhyāyāṁ
12.9.10.4,brahman vāyur abhūn mahān
12.9.11.1,taṁ caṇḍa-śabdaṁ samudīrayantaṁ
12.9.11.2,balāhakā anv abhavan karālāḥ
12.9.11.3,akṣa-sthaviṣṭhā mumucus taḍidbhiḥ
12.9.11.4,svananta uccair abhi varṣa-dhārāḥ
12.9.12.1,tato vyadṛśyanta catuḥ samudrāḥ
12.9.12.2,samantataḥ kṣmā-talam āgrasantaḥ
12.9.12.3,samīra-vegormibhir ugra-nakra-
12.9.12.4,mahā-bhayāvarta-gabhīra-ghoṣāḥ
12.9.13.1,antar bahiś cādbhir ati-dyubhiḥ kharaiḥ
12.9.13.2,śatahradābhir upatāpitaṁ jagat
12.9.13.3,catur-vidhaṁ vīkṣya sahātmanā munir
12.9.13.4,jalāplutāṁ kṣmāṁ vimanāḥ samatrasat
12.9.14.1,tasyaivam udvīkṣata ūrmi-bhīṣaṇaḥ
12.9.14.2,prabhañjanāghūrṇita-vār mahārṇavaḥ
12.9.14.3,āpūryamāṇo varaṣadbhir ambudaiḥ
12.9.14.4,kṣmām apyadhād dvīpa-varṣādribhiḥ samam
12.9.15.1,sa-kṣmāntarikṣaṁ sa-divaṁ sa-bhā-gaṇaṁ
12.9.15.2,trai-lokyam āsīt saha digbhir āplutam
12.9.15.3,sa eka evorvarito mahā-munir
12.9.15.4,babhrāma vikṣipya jaṭā jaḍāndha-vat
12.9.16.1,kṣut-tṛṭ-parīto makarais timiṅgilair
12.9.16.2,upadruto vīci-nabhasvatāhataḥ
12.9.16.3,tamasy apāre patito bhraman diśo
12.9.16.4,na veda khaṁ gāṁ ca pariśrameṣitaḥ
12.9.17-18.1,kracin magno mahāvarte
12.9.17-18.2,taralais tāḍitaḥ kvacit
12.9.17-18.3,yādobhir bhakṣyate kvāpi
12.9.17-18.4,svayam anyonya-ghātibhiḥ
12.9.19.1,ayutāyuta-varṣāṇāṁ
12.9.19.2,sahasrāṇi śatāni ca
12.9.19.3,vyatīyur bhramatas tasmin
12.9.19.4,viṣṇu-māyāvṛtātmanaḥ
12.9.20.1,sa kadācid bhramaṁs tasmin
12.9.20.2,pṛthivyāḥ kakudi dvijaḥ
12.9.20.3,nyāgrodha-potaṁ dadṛśe
12.9.20.4,phala-pallava-śobhitam
12.9.21.1,prāg-uttarasyāṁ śākhāyāṁ
12.9.21.2,tasyāpi dadṛśe śiśum
12.9.21.3,śayānaṁ parṇa-puṭake
12.9.21.4,grasantaṁ prabhayā tamaḥ
12.9.22-25.1,mahā-marakata-śyāmaṁ
12.9.22-25.2,śrīmad-vadana-paṅkajam
12.9.22-25.3,kambu-grīvaṁ mahoraskaṁ
12.9.22-25.4,su-nasaṁ sundara-bhruvam
12.9.26.1,tad-darśanād vīta-pariśramo mudā
12.9.26.2,protphulla-hṛt-padma-vilocanāmbujaḥ
12.9.26.3,prahṛṣṭa-romādbhuta-bhāva-śaṅkitaḥ
12.9.26.4,praṣṭuṁ puras taṁ prasasāra bālakam
12.9.27.1,tāvac chiśor vai śvasitena bhārgavaḥ
12.9.27.2,so ’ntaḥ śarīraṁ maśako yathāviśat
12.9.27.3,tatrāpy ado nyastam acaṣṭa kṛtsnaśo
12.9.27.4,yathā purāmuhyad atīva vismitaḥ
12.9.28-29.1,khaṁ rodasī bhā-gaṇān adri-sāgarān
12.9.28-29.2,dvīpān sa-varṣān kakubhaḥ surāsurān
12.9.28-29.3,vanāni deśān saritaḥ purākarān
12.9.28-29.4,kheṭān vrajān āśrama-varṇa-vṛttayaḥ
12.9.30.1,himālayaṁ puṣpavahāṁ ca tāṁ nadīṁ
12.9.30.2,nijāśramaṁ yatra ṛṣī apaśyata
12.9.30.3,viśvaṁ vipaśyañ chvasitāc chiśor vai
12.9.30.4,bahir nirasto nyapatal layābdhau
12.9.31-32.1,tasmin pṛthivyāḥ kakudi prarūḍhaṁ
12.9.31-32.2,vaṭaṁ ca tat-parṇa-puṭe śayānam
12.9.31-32.3,tokaṁ ca tat-prema-sudhā-smitena
12.9.31-32.4,nirīkṣito ’pāṅga-nirīkṣaṇena
12.9.33.1,tāvat sa bhagavān sākṣād
12.9.33.2,yogādhīśo guhā-śayaḥ
12.9.33.3,antardadha ṛṣeḥ sadyo
12.9.33.4,yathehānīśa-nirmitā
12.9.34.1,tam anv atha vaṭo brahman
12.9.34.2,salilaṁ loka-samplavaḥ
12.9.34.3,tirodhāyi kṣaṇād asya
12.9.34.4,svāśrame pūrva-vat sthitaḥ
12.10.1.1,sūta uvāca
12.10.2.1,śrī-mārkaṇḍeya uvāca
12.10.3.1,sūta uvāca
12.10.4.1,athomā tam ṛṣiṁ vīkṣya
12.10.4.2,giriśaṁ samabhāṣata
12.10.4.3,paśyemaṁ bhagavan vipraṁ
12.10.4.4,nibhṛtātmendriyāśayam
12.10.5.1,nibhṛtoda-jhaṣa-vrāto
12.10.5.2,vātāpāye yathārṇavaḥ
12.10.5.3,kurv asya tapasaḥ sākṣāt
12.10.5.4,saṁsiddhiṁ siddhi-do bhavān
12.10.6.1,śrī-bhagavān uvāca
12.10.7.1,athāpi saṁvadiṣyāmo
12.10.7.2,bhavāny etena sādhunā
12.10.7.3,ayaṁ hi paramo lābho
12.10.7.4,nṛṇāṁ sādhu-samāgamaḥ
12.10.8.1,sūta uvāca
12.10.9.1,tayor āgamanaṁ sākṣād
12.10.9.2,īśayor jagad-ātmanoḥ
12.10.9.3,na veda ruddha-dhī-vṛttir
12.10.9.4,ātmānaṁ viśvam eva ca
12.10.10.1,bhagavāṁs tad abhijñāya
12.10.10.2,giriśo yoga-māyayā
12.10.10.3,āviśat tad-guhākāśaṁ
12.10.10.4,vāyuś chidram iveśvaraḥ
12.10.11-13.1,ātmany api śivaṁ prāptaṁ
12.10.11-13.2,taḍit-piṅga-jaṭā-dharam
12.10.11-13.3,try-akṣaṁ daśa-bhujaṁ prāṁśum
12.10.11-13.4,udyantam iva bhāskaram
12.10.14.1,netre unmīlya dadṛśe
12.10.14.2,sa-gaṇaṁ somayāgatam
12.10.14.3,rudraṁ tri-lokaika-guruṁ
12.10.14.4,nanāma śirasā muniḥ
12.10.15.1,tasmai saparyāṁ vyadadhāt
12.10.15.2,sa-gaṇāya sahomayā
12.10.15.3,svāgatāsana-pādyārghya-
12.10.15.4,gandha-srag-dhūpa-dīpakaiḥ
12.10.16.1,āha tv ātmānubhāvena
12.10.16.2,pūrṇa-kāmasya te vibho
12.10.16.3,karavāma kim īśāna
12.10.16.4,yenedaṁ nirvṛtaṁ jagat
12.10.17.1,namaḥ śivāya śāntāya
12.10.17.2,sattvāya pramṛḍāya ca
12.10.17.3,rajo-juṣe ’tha ghorāya
12.10.17.4,namas tubhyaṁ tamo-juṣe
12.10.18.1,sūta uvāca
12.10.19.1,śrī-bhagavān uvāca
12.10.20-21.1,brāhmaṇāḥ sādhavaḥ śāntā
12.10.20-21.2,niḥsaṅgā bhūta-vatsalāḥ
12.10.20-21.3,ekānta-bhaktā asmāsu
12.10.20-21.4,nirvairāḥ sama-darśinaḥ
12.10.22.1,na te mayy acyute ’je ca
12.10.22.2,bhidām aṇv api cakṣate
12.10.22.3,nātmanaś ca janasyāpi
12.10.22.4,tad yuṣmān vayam īmahi
12.10.23.1,na hy am-mayāni tīrthāni
12.10.23.2,na devāś cetanojjhitāḥ
12.10.23.3,te punanty uru-kālena
12.10.23.4,yūyaṁ darśana-mātrataḥ
12.10.24.1,brāhmaṇebhyo namasyāmo
12.10.24.2,ye ’smad-rūpaṁ trayī-mayam
12.10.24.3,bibhraty ātma-samādhāna-
12.10.24.4,tapaḥ-svādhyāya-saṁyamaiḥ
12.10.25.1,śravaṇād darśanād vāpi
12.10.25.2,mahā-pātakino ’pi vaḥ
12.10.25.3,śudhyerann antya-jāś cāpi
12.10.25.4,kim u sambhāṣaṇādibhiḥ
12.10.26.1,sūta uvāca
12.10.27.1,sa ciraṁ māyayā viṣṇor
12.10.27.2,bhrāmitaḥ karśito bhṛśam
12.10.27.3,śiva-vāg-amṛta-dhvasta-
12.10.27.4,kleśa-puñjas tam abravīt
12.10.28.1,śrī-mārkaṇḍeya uvāca
12.10.29.1,dharmaṁ grāhayituṁ prāyaḥ
12.10.29.2,pravaktāraś ca dehinām
12.10.29.3,ācaranty anumodante
12.10.29.4,kriyamāṇaṁ stuvanti ca
12.10.30.1,naitāvatā bhagavataḥ
12.10.30.2,sva-māyā-maya-vṛttibhiḥ
12.10.30.3,na duṣyetānubhāvas tair
12.10.30.4,māyinaḥ kuhakaṁ yathā
12.10.31-32.1,sṛṣṭvedaṁ manasā viśvam
12.10.31-32.2,ātmanānupraviśya yaḥ
12.10.31-32.3,guṇaiḥ kurvadbhir ābhāti
12.10.31-32.4,karteva svapna-dṛg yathā
12.10.33.1,kaṁ vṛṇe nu paraṁ bhūman
12.10.33.2,varaṁ tvad vara-darśanāt
12.10.33.3,yad-darśanāt pūrṇa-kāmaḥ
12.10.33.4,satya-kāmaḥ pumān bhavet
12.10.34.1,varam ekaṁ vṛṇe ’thāpi
12.10.34.2,pūrṇāt kāmābhivarṣaṇāt
12.10.34.3,bhagavaty acyutāṁ bhaktiṁ
12.10.34.4,tat-pareṣu tathā tvayi
12.10.35.1,sūta uvāca
12.10.36.1,kāmo maharṣe sarvo ’yaṁ
12.10.36.2,bhaktimāṁs tvam adhokṣaje
12.10.36.3,ā-kalpāntād yaśaḥ puṇyam
12.10.36.4,ajarāmaratā tathā
12.10.37.1,jñānaṁ trai-kālikaṁ brahman
12.10.37.2,vijñānaṁ ca viraktimat
12.10.37.3,brahma-varcasvino bhūyāt
12.10.37.4,purāṇācāryatāstu te
12.10.38.1,sūta uvāca
12.10.39.1,so ’py avāpta-mahā-yoga-
12.10.39.2,mahimā bhārgavottamaḥ
12.10.39.3,vicaraty adhunāpy addhā
12.10.39.4,harāv ekāntatāṁ gataḥ
12.10.40.1,anuvarṇitam etat te
12.10.40.2,mārkaṇḍeyasya dhīmataḥ
12.10.40.3,anubhūtaṁ bhagavato
12.10.40.4,māyā-vaibhavam adbhutam
12.10.41.1,etat kecid avidvāṁso
12.10.41.2,māyā-saṁsṛtir ātmanaḥ
12.10.41.3,anādy-āvartitaṁ nṝṇāṁ
12.10.41.4,kādācitkaṁ pracakṣate
12.10.42.1,ya evam etad bhṛgu-varya varṇitaṁ
12.10.42.2,rathāṅga-pāṇer anubhāva-bhāvitam
12.10.42.3,saṁśrāvayet saṁśṛṇuyād u tāv ubhau
12.10.42.4,tayor na karmāśaya-saṁsṛtir bhavet
12.11.1.1,śrī-śaunaka uvāca
12.11.2-3.1,tāntrikāḥ paricaryāyāṁ
12.11.2-3.2,kevalasya śriyaḥ pateḥ
12.11.2-3.3,aṅgopāṅgāyudhākalpaṁ
12.11.2-3.4,kalpayanti yathā ca yaiḥ
12.11.4.1,sūta uvāca
12.11.5.1,māyādyair navabhis tattvaiḥ
12.11.5.2,sa vikāra-mayo virāṭ
12.11.5.3,nirmito dṛśyate yatra
12.11.5.4,sa-citke bhuvana-trayam
12.11.6-8.1,etad vai pauruṣaṁ rūpaṁ
12.11.6-8.2,bhūḥ pādau dyauḥ śiro nabhaḥ
12.11.6-8.3,nābhiḥ sūryo ’kṣiṇī nāse
12.11.6-8.4,vāyuḥ karṇau diśaḥ prabhoḥ
12.11.9.1,yāvān ayaṁ vai puruṣo
12.11.9.2,yāvatyā saṁsthayā mitaḥ
12.11.9.3,tāvān asāv api mahā-
12.11.9.4,puruṣo loka-saṁsthayā
12.11.10.1,kaustubha-vyapadeśena
12.11.10.2,svātma-jyotir bibharty ajaḥ
12.11.10.3,tat-prabhā vyāpinī sākṣāt
12.11.10.4,śrīvatsam urasā vibhuḥ
12.11.11-12.1,sva-māyāṁ vana-mālākhyāṁ
12.11.11-12.2,nānā-guṇa-mayīṁ dadhat
12.11.11-12.3,vāsaś chando-mayaṁ pītaṁ
12.11.11-12.4,brahma-sūtraṁ tri-vṛt svaram
12.11.13.1,avyākṛtam anantākhyam
12.11.13.2,āsanaṁ yad-adhiṣṭhitaḥ
12.11.13.3,dharma-jñānādibhir yuktaṁ
12.11.13.4,sattvaṁ padmam ihocyate
12.11.14-15.1,ojaḥ-saho-bala-yutaṁ
12.11.14-15.2,mukhya-tattvaṁ gadāṁ dadhat
12.11.14-15.3,apāṁ tattvaṁ dara-varaṁ
12.11.14-15.4,tejas-tattvaṁ sudarśanam
12.11.16.1,indriyāṇi śarān āhur
12.11.16.2,ākūtīr asya syandanam
12.11.16.3,tan-mātrāṇy asyābhivyaktiṁ
12.11.16.4,mudrayārtha-kriyātmatām
12.11.17.1,maṇḍalaṁ deva-yajanaṁ
12.11.17.2,dīkṣā saṁskāra ātmanaḥ
12.11.17.3,paricaryā bhagavata
12.11.17.4,ātmano durita-kṣayaḥ
12.11.18.1,bhagavān bhaga-śabdārthaṁ
12.11.18.2,līlā-kamalam udvahan
12.11.18.3,dharmaṁ yaśaś ca bhagavāṁś
12.11.18.4,cāmara-vyajane ’bhajat
12.11.19.1,ātapatraṁ tu vaikuṇṭhaṁ
12.11.19.2,dvijā dhāmākuto-bhayam
12.11.19.3,tri-vṛd vedaḥ suparṇākhyo
12.11.19.4,yajñaṁ vahati pūruṣam
12.11.20.1,anapāyinī bhagavatī
12.11.20.2,śrīḥ sākṣād ātmano hareḥ
12.11.20.3,viṣvaksenas tantra-mūrtir
12.11.20.4,viditaḥ pārṣadādhipaḥ
12.11.20.5,nandādayo ’ṣṭau dvāḥ-sthāś ca
12.11.20.6,te ’ṇimādyā harer guṇāḥ
12.11.21.1,vāsudevaḥ saṅkarṣaṇaḥ
12.11.21.2,pradyumnaḥ puruṣaḥ svayam
12.11.21.3,aniruddha iti brahman
12.11.21.4,mūrti-vyūho ’bhidhīyate
12.11.22.1,sa viśvas taijasaḥ prājñas
12.11.22.2,turīya iti vṛttibhiḥ
12.11.22.3,arthendriyāśaya-jñānair
12.11.22.4,bhagavān paribhāvyate
12.11.23.1,aṅgopāṅgāyudhākalpair
12.11.23.2,bhagavāṁs tac catuṣṭayam
12.11.23.3,bibharti sma catur-mūrtir
12.11.23.4,bhagavān harir īśvaraḥ
12.11.24.1,dvija-ṛṣabha sa eṣa brahma-yoniḥ svayaṁ-dṛk
12.11.24.2,sva-mahima-paripūrṇo māyayā ca svayaitat
12.11.24.3,sṛjati harati pātīty ākhyayānāvṛtākṣo
12.11.24.4,vivṛta iva niruktas tat-parair ātma-labhyaḥ
12.11.25.1,śrī-kṛṣṇa kṛṣṇa-sakha vṛṣṇy-ṛṣabhāvani-dhrug-
12.11.25.2,rājanya-vaṁśa-dahanānapavarga-vīrya
12.11.25.3,govinda gopa-vanitā-vraja-bhṛtya-gīta
12.11.25.4,tīrtha-śravaḥ śravaṇa-maṅgala pāhi bhṛtyān
12.11.26.1,ya idaṁ kalya utthāya
12.11.26.2,mahā-puruṣa-lakṣaṇam
12.11.26.3,tac-cittaḥ prayato japtvā
12.11.26.4,brahma veda guhāśayam
12.11.27-28.1,śrī-śaunaka uvāca
12.11.29.1,sūta uvāca
12.11.30.1,eka eva hi lokānāṁ
12.11.30.2,sūrya ātmādi-kṛd dhariḥ
12.11.30.3,sarva-veda-kriyā-mūlam
12.11.30.4,ṛṣibhir bahudhoditaḥ
12.11.31.1,kālo deśaḥ kriyā kartā
12.11.31.2,karaṇaṁ kāryam āgamaḥ
12.11.31.3,dravyaṁ phalam iti brahman
12.11.31.4,navadhokto ’jayā hariḥ
12.11.32.1,madhv-ādiṣu dvādaśasu
12.11.32.2,bhagavān kāla-rūpa-dhṛk
12.11.32.3,loka-tantrāya carati
12.11.32.4,pṛthag dvādaśabhir gaṇaiḥ
12.11.33.1,dhātā kṛtasthalī hetir
12.11.33.2,vāsukī rathakṛn mune
12.11.33.3,pulastyas tumburur iti
12.11.33.4,madhu-māsaṁ nayanty amī
12.11.34.1,aryamā pulaho ’thaujāḥ
12.11.34.2,prahetiḥ puñjikasthalī
12.11.34.3,nāradaḥ kacchanīraś ca
12.11.34.4,nayanty ete sma mādhavam
12.11.35.1,mitro ’triḥ pauruṣeyo ’tha
12.11.35.2,takṣako menakā hahāḥ
12.11.35.3,rathasvana iti hy ete
12.11.35.4,śukra-māsaṁ nayanty amī
12.11.36.1,vasiṣṭho varuṇo rambhā
12.11.36.2,sahajanyas tathā huhūḥ
12.11.36.3,śukraś citrasvanaś caiva
12.11.36.4,śuci-māsaṁ nayanty amī
12.11.37.1,indro viśvāvasuḥ śrotā
12.11.37.2,elāpatras tathāṅgirāḥ
12.11.37.3,pramlocā rākṣaso varyo
12.11.37.4,nabho-māsaṁ nayanty amī
12.11.38.1,vivasvān ugrasenaś ca
12.11.38.2,vyāghra āsāraṇo bhṛguḥ
12.11.38.3,anumlocā śaṅkhapālo
12.11.38.4,nabhasyākhyaṁ nayanty amī
12.11.39.1,pūṣā dhanañjayo vātaḥ
12.11.39.2,suṣeṇaḥ surucis tathā
12.11.39.3,ghṛtācī gautamaś ceti
12.11.39.4,tapo-māsaṁ nayanty amī
12.11.40.1,ṛtur varcā bharadvājaḥ
12.11.40.2,parjanyaḥ senajit tathā
12.11.40.3,viśva airāvataś caiva
12.11.40.4,tapasyākhyaṁ nayanty amī
12.11.41.1,athāṁśuḥ kaśyapas tārkṣya
12.11.41.2,ṛtasenas tathorvaśī
12.11.41.3,vidyucchatrur mahāśaṅkhaḥ
12.11.41.4,saho-māsaṁ nayanty amī
12.11.42.1,bhagaḥ sphūrjo ’riṣṭanemir
12.11.42.2,ūrṇa āyuś ca pañcamaḥ
12.11.42.3,karkoṭakaḥ pūrvacittiḥ
12.11.42.4,puṣya-māsaṁ nayanty amī
12.11.43.1,tvaṣṭā ṛcīka-tanayaḥ
12.11.43.2,kambalaś ca tilottamā
12.11.43.3,brahmāpeto ’tha satajid
12.11.43.4,dhṛtarāṣṭra iṣam-bharāḥ
12.11.44.1,viṣṇur aśvataro rambhā
12.11.44.2,sūryavarcāś ca satyajit
12.11.44.3,viśvāmitro makhāpeta
12.11.44.4,ūrja-māsaṁ nayanty amī
12.11.45.1,etā bhagavato viṣṇor
12.11.45.2,ādityasya vibhūtayaḥ
12.11.45.3,smaratāṁ sandhyayor nṝṇāṁ
12.11.45.4,haranty aṁho dine dine
12.11.46.1,dvādaśasv api māseṣu
12.11.46.2,devo ’sau ṣaḍbhir asya vai
12.11.46.3,caran samantāt tanute
12.11.46.4,paratreha ca san-matim
12.11.47-48.1,sāmarg-yajurbhis tal-liṅgair
12.11.47-48.2,ṛṣayaḥ saṁstuvanty amum
12.11.47-48.3,gandharvās taṁ pragāyanti
12.11.47-48.4,nṛtyanty apsaraso ’grataḥ
12.11.49.1,vālakhilyāḥ sahasrāṇi
12.11.49.2,ṣaṣṭir brahmarṣayo ’malāḥ
12.11.49.3,purato ’bhimukhaṁ yānti
12.11.49.4,stuvanti stutibhir vibhum
12.11.50.1,evaṁ hy anādi-nidhano
12.11.50.2,bhagavān harir īśvaraḥ
12.11.50.3,kalpe kalpe svam ātmānaṁ
12.11.50.4,vyūhya lokān avaty ajaḥ
12.12.1.1,sūta uvāca
12.12.2.1,etad vaḥ kathitaṁ viprā
12.12.2.2,viṣṇoś caritam adbhutam
12.12.2.3,bhavadbhir yad ahaṁ pṛṣṭo
12.12.2.4,narāṇāṁ puruṣocitam
12.12.3.1,atra saṅkīrtitaḥ sākṣāt
12.12.3.2,sarva-pāpa-haro hariḥ
12.12.3.3,nārāyaṇo hṛṣīkeśo
12.12.3.4,bhagavān sātvatāṁ patiḥ
12.12.4.1,atra brahma paraṁ guhyaṁ
12.12.4.2,jagataḥ prabhavāpyayam
12.12.4.3,jñānaṁ ca tad-upākhyānaṁ
12.12.4.4,proktaṁ vijñāna-saṁyutam
12.12.5.1,bhakti-yogaḥ samākhyāto
12.12.5.2,vairāgyaṁ ca tad-āśrayam
12.12.5.3,pārīkṣitam upākhyānaṁ
12.12.5.4,nāradākhyānam eva ca
12.12.6.1,prāyopaveśo rājarṣer
12.12.6.2,vipra-śāpāt parīkṣitaḥ
12.12.6.3,śukasya brahmarṣabhasya
12.12.6.4,saṁvādaś ca parīkṣitaḥ
12.12.7.1,yoga-dhāraṇayotkrāntiḥ
12.12.7.2,saṁvādo nāradājayoḥ
12.12.7.3,avatārānugītaṁ ca
12.12.7.4,sargaḥ prādhāniko ’grataḥ
12.12.8.1,viduroddhava-saṁvādaḥ
12.12.8.2,kṣattṛ-maitreyayos tataḥ
12.12.8.3,purāṇa-saṁhitā-praśno
12.12.8.4,mahā-puruṣa-saṁsthitiḥ
12.12.9.1,tataḥ prākṛtikaḥ sargaḥ
12.12.9.2,sapta vaikṛtikāś ca ye
12.12.9.3,tato brahmāṇḍa-sambhūtir
12.12.9.4,vairājaḥ puruṣo yataḥ
12.12.10.1,kālasya sthūla-sūkṣmasya
12.12.10.2,gatiḥ padma-samudbhavaḥ
12.12.10.3,bhuva uddharaṇe ’mbhodher
12.12.10.4,hiraṇyākṣa-vadho yathā
12.12.11.1,ūrdhva-tiryag-avāk-sargo
12.12.11.2,rudra-sargas tathaiva ca
12.12.11.3,ardha-nārīśvarasyātha
12.12.11.4,yataḥ svāyambhuvo manuḥ
12.12.12.1,śatarūpā ca yā strīṇām
12.12.12.2,ādyā prakṛtir uttamā
12.12.12.3,santāno dharma-patnīnāṁ
12.12.12.4,kardamasya prajāpateḥ
12.12.13.1,avatāro bhagavataḥ
12.12.13.2,kapilasya mahātmanaḥ
12.12.13.3,devahūtyāś ca saṁvādaḥ
12.12.13.4,kapilena ca dhīmatā
12.12.14-15.1,nava-brahma-samutpattir
12.12.14-15.2,dakṣa-yajña-vināśanam
12.12.14-15.3,dhruvasya caritaṁ paścāt
12.12.14-15.4,pṛthoḥ prācīnabarhiṣaḥ
12.12.16.1,dvīpa-varṣa-samudrāṇāṁ
12.12.16.2,giri-nady-upavarṇanam
12.12.16.3,jyotiś-cakrasya saṁsthānaṁ
12.12.16.4,pātāla-naraka-sthitiḥ
12.12.17.1,dakṣa-janma pracetobhyas
12.12.17.2,tat-putrīṇāṁ ca santatiḥ
12.12.17.3,yato devāsura-narās
12.12.17.4,tiryaṅ-naga-khagādayaḥ
12.12.18.1,tvāṣṭrasya janma-nidhanaṁ
12.12.18.2,putrayoś ca diter dvijāḥ
12.12.18.3,daityeśvarasya caritaṁ
12.12.18.4,prahrādasya mahātmanaḥ
12.12.19.1,manv-antarānukathanaṁ
