,source,target,prediction,origin
304,rudro. bahufira. babhrur vifvayonih ucifravgh,rudrō bahuśirā babhrurviśvayōniḥ śuciśravāḥ,rudro bahuīira- babhrur viīvayoniḥ uciīravgh,website
305,ametah dafvara sthamur vararcho mahatapah,amṛtaḥ śāśvataḥ sthāṇurvarārōhō mahātapāḥ,ametaḥ daīvara sthamur vararcho mahatapaḥ,website
306,carvageh sarvavidbhanur visvakseno janardanch,sarvagaḥ sarvavidbhānurviṣvaksenō janārdanaḥ,carvageh sarvavidbhanur viśvakṣeno janardanch,website
307,velo vedavidavyargo vedargo vedavit kavih,vedō vedavidavyaṅgō vedāṅgō vedavit kaviḥ,velo vedavidavyargo vedargo vedavit kaviḥ,website
308,lckadbyakssh dharmadhyaksah krtaletah,lōkādhyakṣaḥ surādhyakṣō dharmādhyakṣaḥ kṛtākṛta:,lckadbyakṣsh dharmadhyakṣaḥ kṛtaletaḥ,website
309,cavuratma carurvyaheh cavurdamstrafcaturthugh,caturātmā caturvyūhaścaturdaṁṣṭraścaturbhujaḥ,cavuratma carurvyaḥeḥ cavurdamstraīcaturthugh,website
310,bhajiernr bhojinam thoes cahsisnurjagedadijeh,bhrājiṣṇurbhōjanaṁ bhōktā sahiṣṇurjagadādijaḥ,bhajierṇr bhojinaṁ thoeṣ cahsiśṇurjagedadijeḥ,website
311,magho vijryo fera vigvayonth. punarvasuh,anaghō vijayō jetā viśvayōniḥ punarvasuḥ,magho vijryo īera vigvayonthī puṇarvasuḥ,website
312,upendro vamanch praméur amoghsh ducirarjitah,upendrō vāmanaḥ prāṁśuramōghaḥ śucirūrjitaḥ,upendro vamanch pramśur amoghṣh ducirarjitaḥ,website
313,iindrh semgrahch srgo dhrttma niyamo yamch,atīndraḥ saṅgrahaḥ sargō dhṛtātmā niyamō yama,iindrh semgrahch srgo dhrttma niyaṁo yamch,website
314,velyo vaidysh sedaycg1 viraha madhavo madhuh,vedyō vaidyaḥ sadāyōgī vīrahā mādhavō madhuḥ,velyo vaidyśh sedaycgī viraḥa madhavo madhuḥ,website
315,indriyo mahamayo mahabalsh,atīndriyō mahāmāyō mahōtsāhō mahābalaḥ,indriyo mahaṁayo mahabalśh,website
316,mahesvaso mahibharta frinivssh seramgerih,maheṣvāsō mahībhartā śrīnivāsaḥ satāṁ gatiḥ,maheṣvaso mahibharta īriṇivśsh seramgeriḥ,website
317,miraddhah surinando rovindo govidampatih,aniruddhaḥ surānandō gōvindō gōvidāṁ patiḥ,miraddhaḥ suriṇando rovindo govidaṁpatiḥ,website
318,mariciedamano hamsah suparo bhujagortamah,marīcirdamanō haṁsaḥ suparṇō bhujagōttamaḥ,mariciedaṁano hamsaḥ suparo bhujagortamaḥ,website
319,hiragyanabhah sutapah padmanibhah prajipatih,hiraṇyanābhaḥ sutapāḥ padmanābhaḥ prajāpati:,hiragyanabhaḥ sutapaḥ padmanibhaḥ prajipatiḥ,website
320,curth gururamo dhimah suya. supaparikeamah,gururgurutamō dhāmaḥ satyaḥ satyaparākramaḥ,curth gururamo dhimaḥ suya- supaparikeaṁaḥ,website
321,shah samvartako vanhiranilo dharagidhara,ahaḥ saṁvartakō vahniranilō dharaṇīdharaḥ,shah samvartako vanhiraṇilo dharagidhara,website
322,cuprasidah prassnnitma.,suprasādaḥ prasannātmā viśvadhṛgviśvabhugvibhuḥ,cuprasidaḥ prassṇnitma,website
323,catharta sathytah sidhurfanhurnarayago narah,satkartā satkṛtaḥ sādhurjahnurnārāyaṇō naraḥ,catharta sathytaḥ sidhurīanḥurṇarayago naraḥ,website
324,isaikhyeyo'prameyatma videa dstabpechucih,asaṅkhyeyō prameyātmā viśiṣṭaḥ śiṣṭakṛcchuciḥ,iśaikhyeyoprameyatma videa dśṭabpechuciḥ,website
325,iddharthah siddhasathalpah siddhidah siddhissdhanah.,siddhārthaḥ siddhasaṅkalpaḥ siddhidaḥ siddhisādhanaḥ,iddharthaḥ siddhasathalpaḥ siddhidaḥ siddhiṣsdhanaḥ,website
326,vistht vembho vispuevigaparva visodarah,vṛṣāhī vṛṣabhō viṣṇurvṛṣaparvā vṛṣōdaraḥ,viśṭht vembho viśpuevigaparva viśodaraḥ,website
327,vardhano vardhamanatca viviktah érutisigacah,vardhanō vardhamānaśca viviktaḥ śrutisāgaraḥ,vardhano vardhamanatca viviktaḥ śrutiṣigacaḥ,website
328,cubhujo durdharo vigmt makendro vasudo vasuh,subhujō durdharō vāgmī mahendrō vasudō vasuḥ,cubhujo durdharo vigmt makendro vasudo vasuh,website
329,ojestejodyutidharah prakafitma pratipanah,ōjastejōdyutidharaḥ prakāśātmā pratāpanaḥ,ojeṣṭejodyutidharaḥ prakaīitma pratipanaḥ,website
330,rdvah. spastahsaro,ṛddhaḥ spaṣṭākṣarō mantraścandrāṁśurbhāskaradyutiḥ,rdvahī spastaḥsaro,website
331,ribbing anddih kumodih,śubhāṅgaḥ śāntidaḥ sraṣṭā kumudaḥ kuvaleśayaḥ,ribbing anddiḥ kumodiḥ,website
332,sutkepei ksemakrechivah,anivartī nivṛttātmā saṁkṣeptā kṣemakṛcchivaḥ,sutkepei kṣemakṛechivaḥ,website
333,sige veen diel l bo,svakṣaḥ svaṅgaḥ śatānaṅdō naṅdirjyōtirgaṇeśvaraḥ,sige veen diel l bo,website
334,mee a cae,vijitātmā vidheyātmā satkīrtiśchinnasaṁśayaḥ,mee a cae,website
335,udirnah sarvatascaksurantéah sagvatasthirah,udīrṇaḥ sarvataścakṣuranīśaḥ śāśvatasthiraḥ,udirṇaḥ sarvatascakṣuraṇtśaḥ sagvatasthiraḥ,website
336,bhudayo bhusano bhatirasokah,bhūśayō bhūṣaṇō bhūtirviśōkaḥ śōkanāśanaḥ,bhūdayo bhuṣano bhatirasokaḥ,website
337,arcismanarcitah kumbho viduddhatma vidodhanah,arciṣmānarcitaḥ kuṁbhō viśuddhātmā viśōdhanaḥ,arciśmanarcitaḥ kumbho viduddhatma vidodhanaḥ,website
338,aniruddho' pratirathah pradyumno'mitavikramah,aniruddhōpratirathaḥ pradyumnōmitavikramaḥ,aniruddho’ pratirathaḥ pradyumno’mitavikṛamaḥ,website
339,kamadevah kamopalah kims ksotab kytigamch,kāmadevaḥ kāmapālaḥ kāmī kāntaḥ kṛtāgamaḥ,kamadevaḥ kamopalaḥ kims kṣotab kytigamch,website
340,viromo dirramjyah,anirdeśyavapurviṣṇurvīrōnantō dhanañjayaḥ,viromo dirramjyaḥ,website
341,bromminasn f,brahmaṇyō brahmakṛdbrahmā brahma brahmavivardhanaḥ,bromminasn ī,website
342,drain d to,brahmavidbrāhmaṇō brahmī brahmajñō brāhmaṇapriyaḥ,draiṇ d to,website
343,mahakramo mahakarma mahatera mahoragah,mahākramō mahākarmā mahātejā mahōragaḥ,mahakṛamo mahakarma mahatera mahoragaḥ,website
344,mahakraturmahayajva mahayajfio mahahavih,mahākraturmahāyajvā mahāyajñō mahāhaviḥ,mahakṛaturmaḥayajva mahayajjio mahaḥaviḥ,website
345,stavyah stava-priyah stotrath stutah stota rapa-priyah,stavyaḥ stavapriyaḥ stōtraṁ stutiḥ stōtā raṇapriyaḥ,stavyaḥ stava-priyaḥ stotrath stutaḥ stota rapa-priyaḥ,website
346,parnah purayita punyah pugya-kirtiranamayah,pūrṇaḥ pūrayitā puṇyaḥ puṇyakīrtiranāmayaḥ,parṇaḥ purayita punyaḥ pugya-kirtiraṇaṁayaḥ,website
347,manojivastirthakaro vasurera vasupradch,manōjavastīrthakarō vasuretā vasupradaḥ,manojivastirthakaro vasurera vasupradch,website
348,vasuprado vasudevo vasurvasumans havih,vasupradō vāsudevō vasurvasumanā haviḥ,vasuprado vasudevo vasurvasumans haviḥ,website
349,visvamartirmahamartir,viśvamūrtirmahāmūrtirdīptamūrtiramūrtimān,viśvaṁartirmaḥaṁartir,website
350,caturmirtth caturbahuy caturvy tha caturgeth,caturmūrtiḥ caturbāhuḥ caturvyūhaḥ caturgatiḥ,caturmirtth caturbaḥuy caturvy tha caturgeth,website
351,catuibhavah caturvedah videlaoat,caturātmā caturbhāvaḥ caturvedaḥ videkapāt,catuibhavaḥ caturvedaḥ videlaoat,website
352,cahasea mardha vifvatma sahaseakpah sahascapat,sahasramūrdhā viśvātmā sahasrākṣaḥ sahasrapāt,cahasea mardha viīvatma sahaseakpaḥ sahascapat,website
353,mgadham jagatah seruh saryadharmaporakeamah,auṣadhaṁ jagataḥ setuḥ satyadharmaparākramaḥ,mgadham jagataḥ seruḥ saryadharmaporakeaṁaḥ,website
354,bhotabhavjabhavannathah pevanah pavano'nalah,bhūtabhavyabhavannāthaḥ pavanaḥ pāvanōnalaḥ,bhotabhavjabhavannathaḥ pevanaḥ pavano’nalaḥ,website
355,kamahi kamakpthantal kimah kamapeadah prablhuh,kāmahā kāmakṛt kāntaḥ kāmaḥ kāmapradaḥ prabhuḥ,kamaḥi kamakpthantal kimaḥ kamapeadaḥ prablhuḥ,website
356,idrfyo vyaktartipadca. sahasrajidanantajt,adṛśyō vyaktarūpaśca sahasrajidanantajit,idrīyo vyaktartipadca- sahasrajidanantajt,website
357,krodhahi. keidhakptharta. viévabahnrmalidharah,krōdhahā krōdhakṛtkartā viśvabāhurmahīdharaḥ,kṛodhaḥi keidhakptharta viśvabaḥnrmalidharaḥ,website
358,acyutah prathitah pragah peanado vasavanujah,acyutaḥ prathitaḥ prāṇaḥ prāṇadō vāsavānujaḥ,acyutaḥ prathitaḥ pragaḥ peanado vasavanujaḥ,website
359,pan nidhiradhischanamapeamattah pratischitah,apāṁnidhiradhiṣṭhānamapramattaḥ pratiṣṭhitaḥ,pan nidhiradhiṣchanaṁapeaṁattaḥ pratiṣchitaḥ,website
360,chandah skandadharo dhuryo varado vayurahanah,skandaḥ skandadharō dhuryō varadō vāyuvāhanaḥ,chandaḥ skandadharo dhuryo varado vayuraḥanaḥ,website
361,visudero brhadbhinurididevah purandarah,vāsudevō bṛhadbhānurādidevaḥ purandaraḥ,viśudero brhadbhinurididevaḥ puraṇdaraḥ,website
362,darah dauritjanefvarah,aśōkastāraṇastāraḥ śūraḥ śaurirjaneśvaraḥ,daraḥ dauritjaneīvaraḥ,website
363,prdmanibho'ravindiksah padmagarbhah,padmanābhōravindākṣaḥ padmagarbhaḥ śarīrabhṛt,prdmanibho’ravindikṣaḥ padmagarbhaḥ,website
364,maharddhiripddho veddhitms. makkso grrudadhvajeh,maharddhir ṛddhō vṛddhātmā mahākṣō garuḍadhvajaḥ,maharddhiripddho veddhitmss makkṣo gṛrudadhvajeḥ,website
365,darabho bhtmak samayajfio havicharih,atulaḥ śarabhō bhīmaḥ samayajñō havirhariḥ,darabho bhtmak samayajjio havichariḥ,website
366,carvalikpapalaksanyo laksmivan samitiffiyah,sarvalakṣaṇalakṣaṇyō lakṣmīvān samitiñjayaḥ,carvalikpapalakṣaṇyo lakṣmivan samitiījiyaḥ,website
367,vikiro rolito margo herurdimodarah sihah,vikṣarō rōhitō mārgō heturdamodarassahaḥ,vikiro rolito margo herurdimodaraḥ siḥaḥ,website
368,malitdharo mahabhago vegavanamitafenah,mahīdharō mahābhāgō vegavānamitāśanaḥ,malitdharo mahabhago vegavanaṁitaenaḥ,website
369,adbhavah ksobhano devah éigarbhah paramefvarah,"udbhavaḥ, kṣōbhaṇō devaḥ śrīgarbhaḥ parameśvaraḥ",adbhavaḥ kṣobhano devaḥ śigarbhaḥ parameīvaraḥ,website
370,karagam karagam karta vikarta grhano guhah,karaṇaṁ kāraṇaṁ kartā vikartā gahanō guhaḥ,karagam karagam karta vikarta grhaṇo guhaḥ,website
371,vjavasiyo vyavasthinah samsthanah sthanado dhruvah,vyavasāyō vyavasthānaḥ saṁsthānaḥ sthānadō dhruvaḥ,vjavasiyo vyavasthinaḥ samsthanaḥ sthanado dhruvāḥ,website
372,paramaspastastuscah pustah fubheksinah,pararddhiḥ paramaspaṣṭastuṣṭaḥ puṣṭaḥ śubhekṣaṇaḥ,paramaspastastuṣcaḥ puṣṭaḥ īubhekṣiṇaḥ,website
373,amo virajo margo neyo,rāmō virāmō virajō mārgō neyō nayōnayaḥ,amo virajo margo neyo,website
374,vailunthah purusah prinah pranadah peanavah prthuh,vaikuṇṭhaḥ puruṣaḥ prāṇaḥ prāṇadaḥ praṇavaḥ pṛthuḥ,vailunthaḥ puruṣaḥ priṇaḥ praṇadaḥ peanavaḥ prthuḥ,website
375,hiranysgirbhah vyspto vayuradholsajah,hiraṇyagarbhaḥ śatrughnō vyāptō vāyuradhōkṣajaḥ,hiraṇyṣgirbhaḥ vyṣpto vayuradholśajaḥ,website
376,tuh sudarfainah kilah paramestht parigrahah,ṛtuḥ sudarśanaḥ kālaḥ parameṣṭhī parigrahaḥ,tuh sudarīainaḥ kilaḥ parameṣṭht parigrahaḥ,website
377,ugrah samvatsiro dao viimo viévadaksinah,ugraḥ saṁvatsarō dakṣō viśrāmō viśvadakṣiṇaḥ,ugrah samvatsiro dao viimo viśvadakṣiṇaḥ,website
378,anirvianah sthavistho bhordharmayapo mahimakhah,anirviṇṇaḥ sthaviṣṭhōbhūrdharmayūpō mahāmakhaḥ,anirvianaḥ sthaviśṭho bhordharmayapo mahimakhaḥ,website
379,nalksarranemirnaksatet kyamah ksimah samthanah,"nakṣatranemirnakṣatrī kṣamaḥ, kṣāmaḥ samīhanaḥ",nalkṣarraṇemirṇakṣatet kyamaḥ kṣimaḥ samthanaḥ,website
380,yrjlla ijyo makefysica keatub satram setim gatlh,yajña ijyō mahejyaśca kratuḥ satraṁ satāṁ gatiḥ,yrjlla ijyo makeīyṣica keatub satram setim gatlh,website
381,carvadact vimuktatmi servaifo,sarvadarśī vimuktātmā sarvajñō jñānamuttamam,carvadact vimuktatmi servaiīo,website
382,cureatah sumukhah soksmah subkadah subst,suvrataḥ sumukhaḥ sūkṣmaḥ sughōṣaḥ sukhadaḥ suhṛt,cureataḥ sumukhaḥ sokṣmah subkadaḥ subṣṭ,website
383,man charo jitakrodho virabshurvidiragah,manōharō jitakrōdhō vīrabāhurvidāraṇaḥ,man charo jitakṛodho virabṣhurvidiragaḥ,website
384,svapanah svavaéo vyapi naikatma naikakarmakrt,svāpanassvavaśō vyāpī naikātmā naikakarmakṛt,svapanaḥ svavaśo vyapi naikatma naikakarmakṛt,website
385,vatsaro vatsalo vatsi ratnagarbho dhanesvarah,vatsarō vatsalō vatsī ratnagarbhō dhaneśvaraḥ,vatsaro vatsalo vatsi ratnagarbho dhaneṣvaraḥ,website
386,eabhastinemih. settvasthah. simho bhotamshefvarsh,gabhastinemiḥ sattvasthaḥ siṁhō bhūtamaheśvaraḥ,eabhastinemiḥ settvasthaḥ simho bhotamsheīvarṣh,website
387,sdidevo mahadevo develo devabhrdguruh.,ādidevō mahādevō deveśō devabhṛdguruḥ,sdidevo mahadevo develo devabhrdguruḥ,website
388,urtaro gopatirgopta jfianagamysh purstanch,uttarō gōpatirgōptā jñānagamyaḥ purātanaḥ,urtaro gopatirgopta jjianagamyśh purṣṭanch,website
389,éartrabhatabhrdbhckea kapindro bharidaksingh,śarīrabhūtabhṛdbhōktā kapīndrō bhūridakṣiṇaḥ,śartrabhatabhrdbhckea kapindro bharidakṣiṇgh,website
390,comapo'mtapsh. somah. purujitpurusartamsh,sōmapōmṛtapaḥ sōmaḥ purujit purusattamaḥ,comapo’mtapshī somah purujitpuruṣartaṁsh,website
391,vinayo jaysh sstyasandho dafirhah sitvatam patih,vinayō jayaḥ satyasandhō dāśārhassātvatāṁ patiḥ,vinayo jaysh sstyasandho daīirhaḥ sitvatam patiḥ,website
392,jo msharhah svabhavyo jiramitrch pramodanch,ajō mahārhaḥ svābhāvyō jitāmitraḥ pramōdanaḥ,jo msharhaḥ svabhavyo jiramitrch pramodanch,website
393,inando nandano nandah. setyadharma trivikramah,ānandō nandanō nandaḥ satyadharmā trivikramaḥ,inando nandano nandaḥi setyadharma trivikṛamaḥ,website
394,ripadastridadadhyakso. kreantalert,tripadastridaśādhyakṣō mahāśṛṅgaḥ kṛtāntakṛt,ripadastridadadhyakṣo kṛeaṇtalert,website
395,mahavargho govindsh. susensh kanakanged,mahāvarāhō gōvindaḥ suṣeṇaḥ kanakāṅgadī,mahavargho govindśhī suṣenśh kanakanged,website
396,hyo gabhiro gshano. guptadalragadadharch,guhyō gabhīrō gahanō guptaścakragadādharaḥ,hyo gabhiro gshano guptadalragadadharch,website
397,vedhsh. svango'jitah krsno drdhah. sanikersanccyutch,vedhāḥ svāṅgo’jitaḥ kṛṣṇo dṛḍhaḥ saṅkarṣaṇo’cyutaḥ,vedhṣhī svango’jitaḥ kṛṣṇo drdhaḥ sanikerṣaṇccyutch,website
398,vartno varuno puskarkso mahamansh,varuṇo vāruṇo vṛukṣaḥ puṣkarākṣo mahāmanāḥ,vartṇo varuṇo puṣkarkṣo mahamansh,website
399,bhagavin bhagshanand vanamalt halayudhah,bhagavān bhagahānandī vanamālī halāyudhaḥ,bhagavin bhagshanand vanaṁalt halayudhaḥ,website
400,dityo jyoiradityah eshisnurgetisattamsh,ādityō jyōtirādityaḥ sahiṣṇurgatisattamaḥ,dityo jyoiradityaḥ eṣhiṣṇurgetiṣattamsh,website
401,cudhanya khandaparafirdsruno dravinapradeh,sudhanvā khaṇḍaparaśurdāruṇō draviṇapradaḥ,cudhanya khandaparaīirdśruṇo dravinapradeh,website
402,sarvadrgyyaso vacaspatirayonih,divaspṛk sarvadṛgvyāsō vācaspatirayōnijaḥ,sarvadrgyyaso vacaspatirayoniḥ,website
