ids,sentences,OCR
8.22.29-30.1,kṣīṇa-rikthaś cyutaḥ sthānāt,ksina-rikthas cyutah sthanat
8.22.29-30.2,kṣipto baddhaś ca śatrubhiḥ,ksipto baddhas ca satrubhih
8.22.29-30.3,jñātibhiś ca parityakto,inatibhis ca parityakto
8.22.29-30.4,yātanām anuyāpitaḥ,yatanam anuyapitah
8.22.31.1,eṣa me prāpitaḥ sthānaṁ,esa me prapitah sthanam
8.22.31.2,duṣprāpam amarair api,dusprapam amarair api
8.22.31.3,sāvarṇer antarasyāyaṁ,savarner antarasyayam
8.22.31.4,bhavitendro mad-āśrayaḥ,bhavitendro mad-asrayah
8.22.32.1,tāvat sutalam adhyāstāṁ,tavat sutalam adhyastam
8.22.32.2,viśvakarma-vinirmitam,visvakarma-vinirmitam
8.22.32.3,yad ādhayo vyādhayaś ca,yad adhayo vyadhayas ca
8.22.32.4,klamas tandrā parābhavaḥ,klamas tandra parabhavah
8.22.32.5,nopasargā nivasatāṁ,nopasarga nivasatam
8.22.32.6,sambhavanti mamekṣayā,sambhavanti mameksaya
8.22.33.1,indrasena mahārāja,indrasena maharaja
8.22.33.2,yāhi bho bhadram astu te,yahi bho bhadram astu te
8.22.33.3,sutalaṁ svargibhiḥ prārthyaṁ,sutalam svargibhih prarthyam
8.22.33.4,jñātibhiḥ parivāritaḥ,jnatibhih parivaritah
8.22.34.1,na tvām abhibhaviṣyanti,na tvam abhibhavisyanti
8.22.34.2,lokeśāḥ kim utāpare,lokesah kim utapare
8.22.34.3,tvac-chāsanātigān daityāṁś,tvac-chasanatigan daityams
8.22.34.4,cakraṁ me sūdayiṣyati,cakram me sudayisyati
8.22.35.1,rakṣiṣye sarvato ’haṁ tvāṁ,raksisye sarvato 'ham tvam
8.22.35.2,sānugaṁ saparicchadam,sanugam saparicchadam
8.22.35.3,sadā sannihitaṁ vīra,sada sannihitam vira
8.22.35.4,tatra māṁ drakṣyate bhavān,tatra mam draksyate bhavan
8.22.36.1,tatra dānava-daityānāṁ,tatra danava-daityanam
8.22.36.2,saṅgāt te bhāva āsuraḥ,sangat te bhava asurah
8.22.36.3,dṛṣṭvā mad-anubhāvaṁ vai,drstva mad-anubhavam vai
8.22.36.4,sadyaḥ kuṇṭho vinaṅkṣyati,sadyah kuntho vinanksyati
8.23.1.1,śrī-śuka uvāca,Sri-Suka uvaca
8.23.2.1,śrī-balir uvāca,Sri-balir uvaca
8.23.3.1,śrī-śuka uvāca,Sri-Suka uvaca
8.23.4.1,evam indrāya bhagavān,evam indraya bhagavan
8.23.4.2,pratyānīya triviṣṭapam,pratyantya trivistapam
8.23.4.3,pūrayitvāditeḥ kāmam,purayitvaditeh kamam
8.23.4.4,aśāsat sakalaṁ jagat,asasat sakalam jagat
8.23.5.1,labdha-prasādaṁ nirmuktaṁ,labdha-prasadam nirmuktam
8.23.5.2,pautraṁ vaṁśa-dharaṁ balim,pautram vamsa-dharam balim
8.23.5.3,niśāmya bhakti-pravaṇaḥ,nisamya bhakti-pravanah
8.23.5.4,prahrāda idam abravīt,prahrada idam abravit
8.23.6.1,śrī-prahrāda uvāca,Sri-prahrada uvaca
8.23.7.1,yat-pāda-padma-makaranda-niṣevaṇena,yat-pada-padma-makaranda-nisevanena
8.23.7.2,brahmādayaḥ śaraṇadāśnuvate vibhūtīḥ,brahmadayah saranadasnuvate vibhuatth
8.23.7.3,kasmād vayaṁ kusṛtayaḥ khala-yonayas te,kasmad vayam kusrtayah khala-yonayas te
8.23.7.4,dākṣiṇya-dṛṣṭi-padavīṁ bhavataḥ praṇītāḥ,daksinya-drsti-padavim bhavatah pranitah
8.23.8.1,citraṁ tavehitam aho ’mita-yoga-māyā-,citram tavehitam aho 'mita-yoga-maya-
8.23.8.2,līlā-visṛṣṭa-bhuvanasya viśāradasya,lila-visrsta-bhuvanasya visaradasya
8.23.8.3,sarvātmanaḥ samadṛśo ’viṣamaḥ svabhāvo,sarvatmanah samadréo 'visamah svabhavo
8.23.8.4,bhakta-priyo yad asi kalpataru-svabhāvaḥ,bhakta-priyo yad asi kalpataru-svabhavah
8.23.9.1,śrī-bhagavān uvāca,Sri-bhagavan uvaca
8.23.10.1,nityaṁ draṣṭāsi māṁ tatra,nityam drastasi mam tatra
8.23.10.2,gadā-pāṇim avasthitam,gada-panim avasthitam
8.23.10.3,mad-darśana-mahāhlāda-,mad-darsana-mahahlada-
8.23.10.4,dhvasta-karma-nibandhanaḥ,dhvasta-karma-nibandhanah
8.23.11-12.1,śrī-śuka uvāca,Sri-Suka uvaca
8.23.13.1,athāhośanasaṁ rājan,athahosanasam rajan
8.23.13.2,harir nārāyaṇo ’ntike,harir narayano 'ntike
8.23.13.3,āsīnam ṛtvijāṁ madhye,asinam rtvijam madhye
8.23.13.4,sadasi brahma-vādinām,sadasi brahma-vadinam
8.23.14.1,brahman santanu śiṣyasya,brahman santanu sisyasya
8.23.14.2,karma-cchidraṁ vitanvataḥ,karma-cchidram vitanvatah
8.23.14.3,yat tat karmasu vaiṣamyaṁ,yat tat karmasu vaisamyam
8.23.14.4,brahma-dṛṣṭaṁ samaṁ bhavet,brahma-drstam samam bhavet
8.23.15.1,śrī-śukra uvāca,Sri-Sukra uvaca
8.23.16.1,mantratas tantrataś chidraṁ,mantratas tantratas chidram
8.23.16.2,deśa-kālārha-vastutaḥ,desa-kalarha-vastutah
8.23.16.3,sarvaṁ karoti niśchidram,sarvam karoti nischidram
8.23.16.4,anusaṅkīrtanaṁ tava,anusankirtanam tava
8.23.17.1,tathāpi vadato bhūman,tathapi vadato bhuman
8.23.17.2,kariṣyāmy anuśāsanam,karisyamy anusasanam
8.23.17.3,etac chreyaḥ paraṁ puṁsāṁ,etac chreyah param pumsam
8.23.17.4,yat tavājñānupālanam,yat tavajnanupalanam
8.23.18.1,śrī-śuka uvāca,Sri-Suka uvaca
8.23.19.1,evaṁ baler mahīṁ rājan,evam baler mahim rajan
8.23.19.2,bhikṣitvā vāmano hariḥ,bhiksitva vamano harih
8.23.19.3,dadau bhrātre mahendrāya,dadau bhratre mahendraya
8.23.19.4,tridivaṁ yat parair hṛtam,tridivam yat parair hrtam
8.23.20-21.1,prajāpati-patir brahmā,prajapati-patir brahma
8.23.20-21.2,devarṣi-pitṛ-bhūmipaiḥ,devarsi-pitr-bhuamipaih
8.23.20-21.3,dakṣa-bhṛgv-aṅgiro-mukhyaiḥ,daksa-bhrgv-angiro-mukhyaih
8.23.20-21.4,kumāreṇa bhavena ca,kumarena bhavena ca
8.23.22-23.1,vedānāṁ sarva-devānāṁ,vedanam sarva-devanam
8.23.22-23.2,dharmasya yaśasaḥ śriyaḥ,dharmasya yasasah sriyah
8.23.22-23.3,maṅgalānāṁ vratānāṁ ca,mangalanam vratanam ca
8.23.22-23.4,kalpaṁ svargāpavargayoḥ,kalpam svargapavargayoh
8.23.24.1,tatas tv indraḥ puraskṛtya,tatas tv indrah puraskrtya
8.23.24.2,deva-yānena vāmanam,deva-yanena vamanam
8.23.24.3,loka-pālair divaṁ ninye,loka-palair divam ninye
8.23.24.4,brahmaṇā cānumoditaḥ,brahmana canumoditah
8.23.25.1,prāpya tri-bhuvanaṁ cendra,prapya tri-bhuvanam cendra
8.23.25.2,upendra-bhuja-pālitaḥ,upendra-bhuyja-palitah
8.23.25.3,śriyā paramayā juṣṭo,Sriya paramaya justo
8.23.25.4,mumude gata-sādhvasaḥ,mumude gata-sadhvasah
8.23.26-27.1,brahmā śarvaḥ kumāraś ca,brahma sarvah kumaras ca
8.23.26-27.2,bhṛgv-ādyā munayo nṛpa,bhrgv-adya munayo nrpa
8.23.26-27.3,pitaraḥ sarva-bhūtāni,pitarah sarva-bhutani
8.23.26-27.4,siddhā vaimānikāś ca ye,siddha vaimanikas ca ye
8.23.28.1,sarvam etan mayākhyātaṁ,sarvam etan mayakhyatam
8.23.28.2,bhavataḥ kula-nandana,bhavatah kula-nandana
8.23.28.3,urukramasya caritaṁ,urukramasya caritam
8.23.28.4,śrotṝṇām agha-mocanam,Ssrotrnam agha-mocanam
8.23.29.1,pāraṁ mahimna uruvikramato gṛṇāno,param mahimna uruvikramato grnano
8.23.29.2,yaḥ pārthivāni vimame sa rajāṁsi martyaḥ,yah parthivani vimame sa rajamsi martyah
8.23.29.3,kiṁ jāyamāna uta jāta upaiti martya,kim jayamana uta jata upaiti martya
8.23.29.4,ity āha mantra-dṛg ṛṣiḥ puruṣasya yasya,ity aha mantra-drg rsih purusasya yasya
8.23.30.1,ya idaṁ deva-devasya,ya idam deva-devasya
8.23.30.2,harer adbhuta-karmaṇaḥ,harer adbhuta-karmanah
8.23.30.3,avatārānucaritaṁ,avataranucaritam
8.23.30.4,śṛṇvan yāti parāṁ gatim,sravan yati param gatim
8.23.31.1,kriyamāṇe karmaṇīdaṁ,kriyamane karmanidam
8.23.31.2,daive pitrye ’tha mānuṣe,daive pitrye 'tha manuse
8.23.31.3,yatra yatrānukīrtyeta,yatra yatranukirtyeta
8.23.31.4,tat teṣāṁ sukṛtaṁ viduḥ,tat tesam sukrtam viduh
8.24.1.1,śrī-rājovāca,Sri-rajovaca
8.24.2-3.1,yad-artham adadhād rūpaṁ,yad-artham adadhad rupam
8.24.2-3.2,mātsyaṁ loka-jugupsitam,matsyam loka-jugupsitam
8.24.2-3.3,tamaḥ-prakṛti-durmarṣaṁ,tamah-prakrti-durmarsam
8.24.2-3.4,karma-grasta iveśvaraḥ,karma-grasta ivesvarah
8.24.4.1,śrī-sūta uvāca,Sri-suta uvaca
8.24.5.1,śrī-śuka uvāca,Sri-Suka uvaca
8.24.6.1,uccāvaceṣu bhūteṣu,uccavacesu bhutesu
8.24.6.2,caran vāyur iveśvaraḥ,caran vayur ivesvarah
8.24.6.3,noccāvacatvaṁ bhajate,noccavacatvam bhajate
8.24.6.4,nirguṇatvād dhiyo guṇaiḥ,nirgunatvad dhiyo gunaih
8.24.7.1,āsīd atīta-kalpānte,asid atita-kalpante
8.24.7.2,brāhmo naimittiko layaḥ,brahmo naimittiko layah
8.24.7.3,samudropaplutās tatra,samudropaplutas tatra
8.24.7.4,lokā bhūr-ādayo nṛpa,loka bhur-adayo nrpa
8.24.8.1,kālenāgata-nidrasya,kalenagata-nidrasya
8.24.8.2,dhātuḥ śiśayiṣor balī,dhatuh sisayisor ball
8.24.8.3,mukhato niḥsṛtān vedān,mukhato nihsrtan vedan
8.24.8.4,hayagrīvo ’ntike ’harat,hayagrivo 'ntike 'harat
8.24.9.1,jñātvā tad dānavendrasya,inatva tad danavendrasya
8.24.9.2,hayagrīvasya ceṣṭitam,hayagrivasya cestitam
8.24.9.3,dadhāra śapharī-rūpaṁ,dadhara saphart-rupam
8.24.9.4,bhagavān harir īśvaraḥ,bhagavan harir isvarah
8.24.10.1,tatra rāja-ṛṣiḥ kaścin,tatra raja-rsih kascin
8.24.10.2,nāmnā satyavrato mahān,namna satyavrato mahan
8.24.10.3,nārāyaṇa-paro ’tapat,narayana-paro 'tapat
8.24.10.4,tapaḥ sa salilāśanaḥ,tapah sa salilasanah
8.24.11.1,yo ’sāv asmin mahā-kalpe,yo 'sav asmin maha-kalpe
8.24.11.2,tanayaḥ sa vivasvataḥ,tanayah sa vivasvatah
8.24.11.3,śrāddhadeva iti khyāto,Ssraddhadeva iti khyato
8.24.11.4,manutve hariṇārpitaḥ,manutve harinarpitah
8.24.12.1,ekadā kṛtamālāyāṁ,ekada krtamalayam
8.24.12.2,kurvato jala-tarpaṇam,kurvato jala-tarpanam
8.24.12.3,tasyāñjaly-udake kācic,tasyanjaly-udake kacic
8.24.12.4,chaphary ekābhyapadyata,chaphary ekabhyapadyata
8.24.13.1,satyavrato ’ñjali-gatāṁ,satyavrato 'njali-gatam
8.24.13.2,saha toyena bhārata,saha toyena bharata
8.24.13.3,utsasarja nadī-toye,utsasarja nadi-toye
8.24.13.4,śapharīṁ draviḍeśvaraḥ,Ssapharim dravidesvarah
8.24.14.1,tam āha sātikaruṇaṁ,tam aha satikarunam
8.24.14.2,mahā-kāruṇikaṁ nṛpam,maha-karunikam nrpam
8.24.14.3,yādobhyo jñāti-ghātibhyo,yadobhyo jnati-ghatibhyo
8.24.14.4,dīnāṁ māṁ dīna-vatsala,dinam mam dina-vatsala
8.24.14.5,kathaṁ visṛjase rājan,katham visrjase rajan
8.24.14.6,bhītām asmin sarij-jale,bhitam asmin sarij-jale
8.24.15.1,tam ātmano ’nugrahārthaṁ,tam atmano 'nugrahartham
8.24.15.2,prītyā matsya-vapur-dharam,pritya matsya-vapur-dharam
8.24.15.3,ajānan rakṣaṇārthāya,ajanan raksanarthaya
8.24.15.4,śapharyāḥ sa mano dadhe,Ssapharyah sa mano dadhe
8.24.16.1,tasyā dīnataraṁ vākyam,tasya dinataram vakyam
8.24.16.2,āśrutya sa mahīpatiḥ,asrutya sa mahipatih
8.24.16.3,kalaśāpsu nidhāyaināṁ,kalasapsu nidhayainam
8.24.16.4,dayālur ninya āśramam,dayalur ninya asramam
8.24.17.1,sā tu tatraika-rātreṇa,sa tu tatraika-ratrena
8.24.17.2,vardhamānā kamaṇḍalau,vardhamana kamandalau
8.24.17.3,alabdhvātmāvakāśaṁ vā,alabdhvatmavakasam va
8.24.17.4,idam āha mahīpatim,idam aha mahipatim
8.24.18.1,nāhaṁ kamaṇḍalāv asmin,naham kamandalav asmin
8.24.18.2,kṛcchraṁ vastum ihotsahe,krechram vastum ihotsahe
8.24.18.3,kalpayaukaḥ suvipulaṁ,kalpayaukah suvipulam
8.24.18.4,yatrāhaṁ nivase sukham,yatraham nivase sukham
8.24.19.1,sa enāṁ tata ādāya,sa enam tata adaya
8.24.19.2,nyadhād audañcanodake,nyadhad audancanodake
8.24.19.3,tatra kṣiptā muhūrtena,tatra ksipta muhurtena
8.24.19.4,hasta-trayam avardhata,hasta-trayam avardhata
8.24.20.1,na ma etad alaṁ rājan,na ma etad alam rajan
8.24.20.2,sukhaṁ vastum udañcanam,sukham vastum udancanam
8.24.20.3,pṛthu dehi padaṁ mahyaṁ,prthu dehi padam mahyam
8.24.20.4,yat tvāhaṁ śaraṇaṁ gatā,yat tvaham saranam gata
8.24.21.1,tata ādāya sā rājñā,tata adaya sa rajna
8.24.21.2,kṣiptā rājan sarovare,ksipta rajan sarovare
8.24.21.3,tad āvṛtyātmanā so ’yaṁ,tad avrtyatmana so 'yam
8.24.21.4,mahā-mīno ’nvavardhata,maha-mino 'nvavardhata
8.24.22.1,naitan me svastaye rājann,naitan me svastaye rajann
8.24.22.2,udakaṁ salilaukasaḥ,udakam salilaukasah
8.24.22.3,nidhehi rakṣā-yogena,nidhehi raksa-yogena
8.24.22.4,hrade mām avidāsini,hrade mam avidasini
8.24.23.1,ity uktaḥ so ’nayan matsyaṁ,ity uktah so 'nayan matsyam
8.24.23.2,tatra tatrāvidāsini,tatra tatravidasini
8.24.23.3,jalāśaye ’sammitaṁ taṁ,jalasaye 'sammitam tam
8.24.23.4,samudre prākṣipaj jhaṣam,samudre praksipaj jhasam
8.24.24.1,kṣipyamāṇas tam āhedam,ksipyamanas tam ahedam
8.24.24.2,iha māṁ makarādayaḥ,iha mam makaradayah
8.24.24.3,adanty atibalā vīra,adanty atibala vira
8.24.24.4,māṁ nehotsraṣṭum arhasi,mam nehotsrastum arhasi
8.24.25.1,evaṁ vimohitas tena,evam vimohitas tena
8.24.25.2,vadatā valgu-bhāratīm,vadata valgu-bharatim
8.24.25.3,tam āha ko bhavān asmān,tam aha ko bhavan asman
8.24.25.4,matsya-rūpeṇa mohayan,matsya-rupena mohayan
8.24.26.1,naivaṁ vīryo jalacaro,naivam viryo jalacaro
8.24.26.2,dṛṣṭo ’smābhiḥ śruto ’pi vā,drsto 'smabhih sruto 'pi va
8.24.26.3,yo bhavān yojana-śatam,yo bhavan yojana-Satam
8.24.26.4,ahnābhivyānaśe saraḥ,ahnabhivyanase sarah
8.24.27.1,nūnaṁ tvaṁ bhagavān sākṣād,nunam tvam bhagavan saksad
8.24.27.2,dharir nārāyaṇo ’vyayaḥ,dharir narayano 'vyayah
8.24.27.3,anugrahāya bhūtānāṁ,anugrahaya bhutanam
8.24.27.4,dhatse rūpaṁ jalaukasām,dhatse rupam jalaukasam
8.24.28.1,namas te puruṣa-śreṣṭha,namas te purusa-Srestha
8.24.28.2,sthity-utpatty-apyayeśvara,sthity-utpatty-apyayesvara
8.24.28.3,bhaktānāṁ naḥ prapannānāṁ,bhaktanam nah prapannanam
8.24.28.4,mukhyo hy ātma-gatir vibho,mukhyo hy atma-gatir vibho
8.24.29.1,sarve līlāvatārās te,sarve lilavataras te
8.24.29.2,bhūtānāṁ bhūti-hetavaḥ,bhutanam bhati-hetavah
8.24.29.3,jñātum icchāmy ado rūpaṁ,inatum icchamy ado rupam
8.24.29.4,yad-arthaṁ bhavatā dhṛtam,yad-artham bhavata dhrtam
8.24.30.1,na te ’ravindākṣa padopasarpaṇaṁ,na te 'ravindaksa padopasarpanam
8.24.30.2,mṛṣā bhavet sarva-suhṛt-priyātmanaḥ,mrsa bhavet sarva-suhrt-priyatmanah
8.24.30.3,yathetareṣāṁ pṛthag-ātmanāṁ satām,yathetaresam prthag-atmanam satam
8.24.30.4,adīdṛśo yad vapur adbhutaṁ hi naḥ,adidrso yad vapur adbhutam hi nah
8.24.31.1,śrī-śuka uvāca,Sri-Suka uvaca
8.24.32.1,śrī-bhagavān uvāca,Sri-bhagavan uvaca
8.24.33.1,tri-lokyāṁ līyamānāyāṁ,tri-lokyam Ityamanayam
8.24.33.2,saṁvartāmbhasi vai tadā,samvartambhasi vai tada
8.24.33.3,upasthāsyati nauḥ kācid,upasthasyati nauh kacid
8.24.33.4,viśālā tvāṁ mayeritā,visala tvam mayerita
8.24.34-35.1,tvaṁ tāvad oṣadhīḥ sarvā,tvam tavad osadhth sarva
8.24.34-35.2,bījāny uccāvacāni ca,bijany uccavacani ca
8.24.34-35.3,saptarṣibhiḥ parivṛtaḥ,saptarsibhih parivrtah
8.24.34-35.4,sarva-sattvopabṛṁhitaḥ,sarva-sattvopabrmhitah
8.24.36.1,dodhūyamānāṁ tāṁ nāvaṁ,dodhayamanam tam navam
8.24.36.2,samīreṇa balīyasā,samirena baliyasa
8.24.36.3,upasthitasya me śṛṅge,upasthitasya me srrige
8.24.36.4,nibadhnīhi mahāhinā,nibadhnthi mahahina
8.24.37.1,ahaṁ tvām ṛṣibhiḥ sārdhaṁ,aham tvam rsibhih sardham
8.24.37.2,saha-nāvam udanvati,saha-navam udanvati
8.24.37.3,vikarṣan vicariṣyāmi,vikarsan vicarisyami
8.24.37.4,yāvad brāhmī niśā prabho,yavad brahm1 nisa prabho
8.24.38.1,madīyaṁ mahimānaṁ ca,madityam mahimanam ca
8.24.38.2,paraṁ brahmeti śabditam,param brahmeti sabditam
8.24.38.3,vetsyasy anugṛhītaṁ me,vetsyasy anugrhitam me
8.24.38.4,sampraśnair vivṛtaṁ hṛdi,samprasnair vivrtam hrdi
8.24.39.1,ittham ādiśya rājānaṁ,ittham adisya rajanam
8.24.39.2,harir antaradhīyata,harir antaradh1yata
8.24.39.3,so ’nvavaikṣata taṁ kālaṁ,so 'nvavaiksata tam kalam
8.24.39.4,yaṁ hṛṣīkeśa ādiśat,yam hrsikesa adisat
8.24.40.1,āstīrya darbhān prāk-kūlān,astirya darbhan prak-kulan
8.24.40.2,rājarṣiḥ prāg-udaṅ-mukhaḥ,rajarsih prag-udan-mukhah
8.24.40.3,niṣasāda hareḥ pādau,nisasada hareh padau
8.24.40.4,cintayan matsya-rūpiṇaḥ,cintayan matsya-rupinah
8.24.41.1,tataḥ samudra udvelaḥ,tatah samudra udvelah
8.24.41.2,sarvataḥ plāvayan mahīm,sarvatah plavayan mahim
8.24.41.3,vardhamāno mahā-meghair,vardhamano maha-meghair
8.24.41.4,varṣadbhiḥ samadṛśyata,varsadbhih samadréyata
8.24.42.1,dhyāyan bhagavad-ādeśaṁ,dhyayan bhagavad-adesam
8.24.42.2,dadṛśe nāvam āgatām,dadrse navam agatam
8.24.42.3,tām āruroha viprendrair,tam aruroha viprendrair
8.24.42.4,ādāyauṣadhi-vīrudhaḥ,adayausadhi-virudhah
8.24.43.1,tam ūcur munayaḥ prītā,tam Uucur munayah prita
8.24.43.2,rājan dhyāyasva keśavam,rajan dhyayasva kesavam
8.24.43.3,sa vai naḥ saṅkaṭād asmād,sa vai nah sankatad asmad
8.24.43.4,avitā śaṁ vidhāsyati,avita sam vidhasyati
8.24.44.1,so ’nudhyātas tato rājñā,so 'nudhyatas tato rajna
8.24.44.2,prādurāsīn mahārṇave,pradurasin maharnave
8.24.44.3,eka-śṛṅga-dharo matsyo,matsyo
8.24.44.4,haimo niyuta-yojanaḥ,haimo niyuta-yojanah
8.24.45.1,nibadhya nāvaṁ tac-chṛṅge,nibadhya navam tac-chrnge
8.24.45.2,yathokto hariṇā purā,yathokto harina pura
8.24.45.3,varatreṇāhinā tuṣṭas,varatrenahina tustas
8.24.45.4,tuṣṭāva madhusūdanam,tustava madhusudanam
8.24.46.1,śrī-rājovāca,Sri-rajovaca
8.24.47.1,jano ’budho ’yaṁ nija-karma-bandhanaḥ,jano 'budho 'yam nija-karma-bandhanah
8.24.47.2,sukhecchayā karma samīhate ’sukham,sukhecchaya karma samihate 'sukham
8.24.47.3,yat-sevayā tāṁ vidhunoty asan-matiṁ,yat-sevaya tam vidhunoty asan-matim
8.24.47.4,granthiṁ sa bhindyād dhṛdayaṁ sa no guruḥ,granthim sa bhindyad dhrdayam sa no guruh
8.24.48.1,yat-sevayāgner iva rudra-rodanaṁ,yat-sevayagner iva rudra-rodanam
8.24.48.2,pumān vijahyān malam ātmanas tamaḥ,puman vijahyan malam atmanas tamah
8.24.48.3,bhajeta varṇaṁ nijam eṣa so ’vyayo,bhajeta varnam nijam esa so 'vyayo
8.24.48.4,bhūyāt sa īśaḥ paramo guror guruḥ,bhayat sa sah paramo guror guruh
8.24.49.1,na yat-prasādāyuta-bhāga-leśam,na yat-prasadayuta-bhaga-lesam
8.24.49.2,anye ca devā guravo janāḥ svayam,anye ca deva guravo janah svayam
8.24.49.3,kartuṁ sametāḥ prabhavanti puṁsas,kartum sametah prabhavanti pumsas
8.24.49.4,tam īśvaraṁ tvāṁ śaraṇaṁ prapadye,tam Isvaram tvam saranam prapadye
8.24.50.1,acakṣur andhasya yathāgraṇīḥ kṛtas,acaksur andhasya yathagranth krtas
8.24.50.2,tathā janasyāviduṣo ’budho guruḥ,tatha janasyaviduso 'budho guruh
8.24.50.3,tvam arka-dṛk sarva-dṛśāṁ samīkṣaṇo,tvam arka-drk sarva-dréam samiksano
8.24.50.4,vṛto gurur naḥ sva-gatiṁ bubhutsatām,vrto gurur nah sva-gatim bubhutsatam
8.24.51.1,jano janasyādiśate ’satīṁ gatiṁ,jano janasyadisate 'satim gatim
8.24.51.2,yayā prapadyeta duratyayaṁ tamaḥ,yaya prapadyeta duratyayam tamah
8.24.51.3,tvaṁ tv avyayaṁ jñānam amogham añjasā,tvam tv avyayam jnanam amogham anjasa
8.24.51.4,prapadyate yena jano nijaṁ padam,prapadyate yena jano nijam padam
8.24.52.1,tvaṁ sarva-lokasya suhṛt priyeśvaro,tvam sarva-lokasya suhrt privesvaro
8.24.52.2,hy ātmā gurur jñānam abhīṣṭa-siddhiḥ,hy atma gurur jinanam abhista-siddhih
8.24.52.3,tathāpi loko na bhavantam andha-dhīr,tathapi loko na bhavantam andha-dhir
8.24.52.4,jānāti santaṁ hṛdi baddha-kāmaḥ,janati santam hrdi baddha-kamah
8.24.53.1,tvaṁ tvām ahaṁ deva-varaṁ vareṇyaṁ,tvam tvam aham deva-varam varenyam
8.24.53.2,prapadya īśaṁ pratibodhanāya,prapadya isam pratibodhanaya
8.24.53.3,chindhy artha-dīpair bhagavan vacobhir,chindhy artha-dipair bhagavan vacobhir
8.24.53.4,granthīn hṛdayyān vivṛṇu svam okaḥ,granthin hrdayyan vivrnu svam okah
8.24.54.1,śrī-śuka uvāca,Sri-Suka uvaca
8.24.55.1,purāṇa-saṁhitāṁ divyāṁ,purana-samhitam divyam
8.24.55.2,sāṅkhya-yoga-kriyāvatīm,sankhya-yoga-kriyavatim
8.24.55.3,satyavratasya rājarṣer,satyavratasya rajarser
8.24.55.4,ātma-guhyam aśeṣataḥ,atma-guhyam asesatah
8.24.56.1,aśrauṣīd ṛṣibhiḥ sākam,asrausid rsibhih sakam
8.24.56.2,ātma-tattvam asaṁśayam,atma-tattvam asamsayam
8.24.56.3,nāvy āsīno bhagavatā,navy asino bhagavata
8.24.56.4,proktaṁ brahma sanātanam,proktam brahma sanatanam
8.24.57.1,atīta-pralayāpāya,atita-pralayapaya
8.24.57.2,utthitāya sa vedhase,utthitaya sa vedhase
8.24.57.3,hatvāsuraṁ hayagrīvaṁ,hatvasuram hayagrivam
8.24.57.4,vedān pratyāharad dhariḥ,vedan pratyaharad dharih
8.24.58.1,sa tu satyavrato rājā,sa tu satyavrato raja
8.24.58.2,jñāna-vijñāna-saṁyutaḥ,inana-vijnana-samyutah
8.24.58.3,viṣṇoḥ prasādāt kalpe ’sminn,visnoh prasadat kalpe 'sminn
8.24.58.4,āsīd vaivasvato manuḥ,asid vaivasvato manuh
8.24.59.1,satyavratasya rājarṣer,satyavratasya rajarser
8.24.59.2,māyā-matsyasya śārṅgiṇaḥ,maya-matsyasya sarnginah
8.24.59.3,saṁvādaṁ mahad-ākhyānaṁ,samvadam mahad-akhyanam
8.24.59.4,śrutvā mucyeta kilbiṣāt,Srutva mucyeta kilbisat
8.24.60.1,avatāraṁ harer yo ’yaṁ,avataram harer yo 'yam
8.24.60.2,kīrtayed anvahaṁ naraḥ,kKirtayed anvaham narah
8.24.60.3,saṅkalpās tasya sidhyanti,sankalpas tasya sidhyanti
8.24.60.4,sa yāti paramāṁ gatim,sa yati paramam gatim
8.24.61.1,pralaya-payasi dhātuḥ supta-śakter mukhebhyaḥ,pralaya-payasi dhatuh supta-Sakter mukhebhyah
8.24.61.2,śruti-gaṇam apanītaṁ pratyupādatta hatvā,Sruti-ganam apanitam pratyupadatta hatva
8.24.61.3,ditijam akathayad yo brahma satyavratānāṁ,ditijam akathayad yo brahma satyavratanam
8.24.61.4,tam aham akhila-hetuṁ jihma-mīnaṁ nato ’smi,tam aham akhila-hetum jihma-minam nato 'smi
9.1.1.1,śrī-rājovāca,Sri-rajovaca
9.1.2-3.1,yo ’sau satyavrato nāma,yo 'sau satyavrato nama
9.1.2-3.2,rājarṣir draviḍeśvaraḥ,rajarsir dravidesvarah
9.1.2-3.3,jñānaṁ yo ’tīta-kalpānte,inanam yo 'tita-kalpante
9.1.2-3.4,lebhe puruṣa-sevayā,lebhe purusa-sevaya
9.1.4.1,teṣāṁ vaṁśaṁ pṛthag brahman,tesam vamsam prthag brahman
9.1.4.2,vaṁśānucaritāni ca,vamsanucaritani ca
9.1.4.3,kīrtayasva mahā-bhāga,kKirtayasva maha-bhaga
9.1.4.4,nityaṁ śuśrūṣatāṁ hi naḥ,nityam susrusatam hi nah
9.1.5.1,ye bhūtā ye bhaviṣyāś ca,ye bhuta ye bhavisyas ca
9.1.5.2,bhavanty adyatanāś ca ye,bhavanty adyatanas ca ye
9.1.5.3,teṣāṁ naḥ puṇya-kīrtīnāṁ,tesam nah punya-kirtinam
9.1.5.4,sarveṣāṁ vada vikramān,sarvesam vada vikraman
9.1.6.1,śrī-sūta uvāca,Sri-suta uvaca
9.1.7.1,śrī-śuka uvāca,Sri-Suka uvaca
9.1.8.1,parāvareṣāṁ bhūtānām,paravaresam bhutanam
9.1.8.2,ātmā yaḥ puruṣaḥ paraḥ,atma yah purusah parah
9.1.8.3,sa evāsīd idaṁ viśvaṁ,sa evasid idam visvam
